"url_length","n_dots","n_hypens","n_underline","n_slash","n_questionmark","n_equal","n_at","n_and","n_exclamation","n_space","n_tilde","n_comma","n_plus","n_asterisk","n_hastag","n_dollar","n_percent","n_redirection"
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,5,6,0,0,0,4,1,5,0,1,0,0,0,0,0,0,8,0
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0
64,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
