mtry,splitrule,min.node.size,Accuracy,Kappa,AccuracySD,KappaSD,n_tree
2,extratrees,1,0.826384319360555,0.594172580953549,0.0206937696878445,0.0577899680601011,50
2,extratrees,5,0.82894499486966,0.601826206236093,0.0163769758535818,0.0450582761911101,50
10,extratrees,1,0.894856545251088,0.771899736927411,0.00261277347398894,0.00605729363673168,50
10,extratrees,5,0.895531012859446,0.773003117681251,0.00182863859144926,0.00410401808708609,50
19,extratrees,1,0.892470866515385,0.765862942262101,0.0016775005204008,0.00367735530257078,50
19,extratrees,5,0.894294456669519,0.7703070921374,0.00192579853298137,0.00417223430130698,50
2,extratrees,1,0.835939506994684,0.620280146081206,0.00981302776862764,0.0260977210845367,500
2,extratrees,5,0.833516294740476,0.613446490068737,0.0153170738884599,0.0428923674345558,500
10,extratrees,1,0.895905712319457,0.773855454283352,0.0021179213492094,0.00503713684052255,500
10,extratrees,5,0.896018128007691,0.774312534948522,0.00229521639877759,0.00532853181467614,500
19,extratrees,1,0.892520818123059,0.766027105931383,0.00166639311388296,0.00366957975319755,500
19,extratrees,5,0.894381880953302,0.770478220732768,0.00176403037762791,0.00385224214301899,500
2,extratrees,1,0.838200326992001,0.626407996915399,0.00383520174490081,0.0106203814794049,5000
2,extratrees,5,0.839536804337982,0.629986236794083,0.00323451905859288,0.0088664439242083,5000
10,extratrees,1,0.896105572572273,0.77435709326891,0.00251647220531432,0.00580275990957582,5000
10,extratrees,5,0.896030630340178,0.774316056819685,0.00252299352132302,0.00589655784195113,5000
19,extratrees,1,0.893007942631673,0.76723809062215,0.0016345570995511,0.00354944322694262,5000
19,extratrees,5,0.894256980093257,0.770215631170241,0.00155152984345182,0.00350262865467344,5000
