mtry,splitrule,min.node.size,Accuracy,Kappa,AccuracySD,KappaSD,n_tree,is_best,running_time
8,gini,5,0.896217889196604,0.774662204211321,0.00191775084874173,0.00440282574527422,500,1,25.1832654476166
8,gini,1,0.896167950069422,0.774559424860625,0.00242049246073813,0.00518484950615901,50,0,NA
8,gini,1,0.895968081236269,0.774028515236169,0.00185846093935616,0.00453639559892704,500,0,NA
8,gini,5,0.895930630401021,0.774013042251824,0.00249876151866064,0.0054930745907228,50,0,NA
8,extratrees,5,0.89555592080061,0.773018076824173,0.000937513764483892,0.00212547831063097,500,0,NA
8,extratrees,1,0.894744089001256,0.77119902760729,0.00097000395321371,0.00242725385065425,500,0,NA
16,extratrees,5,0.894469228794073,0.770582097875122,0.00249108813038295,0.00557750253161755,50,0,NA
8,extratrees,5,0.894181996519534,0.77044382246699,0.00221340678320141,0.00503685472865561,50,0,NA
8,extratrees,1,0.893944658130395,0.76993148079659,0.00301495152179114,0.00635027098812472,50,0,NA
16,extratrees,5,0.894094569115629,0.769717550825335,0.00160705248856196,0.00385856183659442,500,0,NA
8,gini,5,0.892508325150941,0.766636482975707,0.00175466716498744,0.0041668429939092,5,0,NA
16,gini,5,0.892358396225001,0.765853121842831,0.00257039374732727,0.00605467041313345,500,0,NA
8,extratrees,5,0.892258551511958,0.765805922540643,0.00218321674839392,0.0050015711107226,5,0,NA
16,extratrees,1,0.892420819743963,0.765577819595207,0.00240906572527236,0.00522121096410461,50,0,NA
16,extratrees,1,0.892083637421812,0.765016537803492,0.00204789146083903,0.00477210412966337,500,0,NA
16,gini,5,0.891883768588659,0.764765307276954,0.00299134321642443,0.00663355527040558,50,0,NA
8,gini,1,0.891746429358647,0.764313579761727,0.00136110924345013,0.00251172021349835,5,0,NA
8,extratrees,1,0.891534092514359,0.763867807979036,0.00245877005079601,0.0053317492883767,5,0,NA
16,gini,1,0.891509043387633,0.763565926744577,0.00198306115273883,0.00419515949777979,50,0,NA
16,gini,1,0.890784607790956,0.762139226382931,0.00274396080835793,0.00634493817409773,500,0,NA
16,extratrees,5,0.890634770908642,0.761904542403119,0.0014100628468183,0.00282827314885395,5,0,NA
16,extratrees,1,0.88919839814762,0.758365673441889,0.00183970585296876,0.00425740182243688,5,0,NA
16,gini,5,0.888698779886858,0.757603750570121,0.00141676478584131,0.0033424401358781,5,0,NA
16,gini,1,0.88728736810909,0.754700076258162,0.00091690867871763,0.00225040393681541,5,0,NA
2,gini,5,0.875958635532187,0.727567389789325,0.00394017430146733,0.00827264412393131,50,0,NA
2,gini,5,0.875821263540885,0.725905181896213,0.00171459941177009,0.00438388417822808,500,0,NA
2,gini,1,0.875696321339212,0.725660005883601,0.00194345293795031,0.00521747180403126,500,0,NA
2,gini,1,0.875558883825328,0.725345279095433,0.00593496777923199,0.0142970423730151,50,0,NA
2,gini,1,0.87108739122608,0.71764128283489,0.00417852636119065,0.012709561251993,5,0,NA
2,gini,5,0.863118603562784,0.695709958982898,0.00910184434063929,0.0240369845737762,5,0,NA
2,extratrees,5,0.854812490831714,0.671795056740637,0.00524119556734892,0.0133378145940302,50,0,NA
2,extratrees,5,0.852926545801322,0.66982441622051,0.0113906326456268,0.0292089807099395,5,0,NA
2,extratrees,5,0.854462774975847,0.669721907177363,0.00184241806553899,0.00535647707445318,500,0,NA
2,extratrees,1,0.852314526672909,0.664060080249975,0.00381164027102523,0.0104434407280302,500,0,NA
2,extratrees,1,0.850840667195226,0.660428565163823,0.00574196871178949,0.0150492615974876,50,0,NA
2,extratrees,1,0.82815925119796,0.597504218518413,0.0554816948964879,0.158894078992212,5,0,NA
