"url_length","n_dots","n_hypens","n_underline","n_slash","n_questionmark","n_equal","n_at","n_and","n_exclamation","n_space","n_tilde","n_comma","n_plus","n_asterisk","n_hastag","n_dollar","n_percent","n_redirection"
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
72,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,4,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
